Sexo,Lenguaje,Matemáticas,Historia,Ciencias,Etiqueta,Año
F,616.0,464.0,520.0,484.0,0,2003
F,322.0,403.0,346.0,426.0,0,2003
F,515.0,614.0,451.0,564.0,0,2003
M,786.0,818.0,,683.0,0,2003
F,554.0,515.0,569.0,451.0,0,2003
F,585.0,538.0,527.0,533.0,0,2003
M,353.0,524.0,485.0,519.0,0,2003
M,616.0,598.0,,631.0,0,2003
F,778.0,644.0,,670.0,0,2003
M,461.0,556.0,430.0,426.0,0,2003
F,577.0,570.0,457.0,583.0,0,2003
F,561.0,414.0,430.0,541.0,0,2003
M,391.0,570.0,,463.0,0,2003
M,678.0,655.0,492.0,576.0,0,2003
M,554.0,574.0,437.0,502.0,0,2003
M,608.0,631.0,485.0,,1,2003
F,500.0,487.0,395.0,,1,2003
F,577.0,502.0,506.0,511.0,1,2003
F,616.0,644.0,625.0,,1,2003
F,515.0,567.0,541.0,,1,2003
M,592.0,627.0,653.0,620.0,1,2003
F,716.0,655.0,716.0,,1,2003
F,608.0,598.0,625.0,558.0,1,2003
M,701.0,567.0,674.0,,1,2003
F,546.0,342.0,485.0,,1,2003
M,678.0,570.0,,533.0,1,2003
F,492.0,497.0,478.0,363.0,1,2003
F,763.0,618.0,,666.0,1,2003
F,616.0,585.0,562.0,564.0,1,2003
F,569.0,534.0,451.0,,1,2003
M,530.0,470.0,506.0,493.0,1,2003
F,538.0,577.0,444.0,,1,2003
F,492.0,476.0,,526.0,1,2003
M,422.0,556.0,506.0,484.0,1,2003
F,608.0,425.0,516.0,574.0,1,2003
M,685.0,674.0,562.0,479.0,1,2003
M,454.0,493.0,,351.0,0,2004
F,,,,,0,2004
M,570.0,661.0,462.0,479.0,0,2004
F,518.0,487.0,482.0,446.0,0,2004
F,507.0,442.0,399.0,457.0,0,2004
M,536.0,609.0,,446.0,0,2004
F,513.0,565.0,563.0,,0,2004
F,547.0,502.0,501.0,388.0,0,2004
M,564.0,640.0,552.0,496.0,0,2004
M,559.0,543.0,660.0,468.0,0,2004
M,422.0,532.0,417.0,419.0,0,2004
F,530.0,435.0,482.0,433.0,0,2004
M,502.0,639.0,371.0,548.0,0,2004
F,496.0,502.0,455.0,,0,2004
F,620.0,640.0,525.0,,0,2004
M,370.0,435.0,350.0,,0,2004
M,416.0,532.0,440.0,457.0,0,2004
M,,,,,0,2004
F,614.0,548.0,,525.0,0,2004
F,547.0,497.0,482.0,,0,2004
M,490.0,631.0,494.0,468.0,0,2004
F,564.0,487.0,596.0,,0,2004
M,530.0,551.0,488.0,457.0,0,2004
M,507.0,572.0,501.0,504.0,0,2004
M,454.0,497.0,440.0,443.0,0,2004
F,536.0,551.0,488.0,479.0,1,2004
M,,,,,1,2004
F,541.0,435.0,488.0,446.0,1,2004
M,484.0,543.0,,404.0,1,2004
F,547.0,680.0,475.0,592.0,1,2004
M,409.0,532.0,,404.0,1,2004
M,564.0,598.0,501.0,,1,2004
F,614.0,516.0,455.0,511.0,1,2004
F,683.0,609.0,635.0,,1,2004
M,530.0,661.0,408.0,518.0,1,2004
M,770.0,558.0,591.0,479.0,1,2004
F,559.0,551.0,525.0,504.0,1,2004
F,746.0,795.0,541.0,623.0,1,2004
F,723.0,640.0,,567.0,1,2004
F,804.0,680.0,,653.0,1,2004
F,620.0,464.0,506.0,404.0,1,2004
F,635.0,618.0,580.0,,1,2004
M,513.0,426.0,,468.0,1,2004
F,502.0,536.0,469.0,404.0,1,2004
F,658.0,591.0,,531.0,1,2004
F,723.0,614.0,612.0,592.0,1,2004
M,454.0,576.0,399.0,,1,2004
F,490.0,558.0,,468.0,1,2004
M,404.0,547.0,480.0,320.0,0,2005
M,418.0,520.0,490.0,,0,2005
F,591.0,493.0,514.0,485.0,0,2005
M,527.0,569.0,573.0,574.0,0,2005
M,542.0,601.0,480.0,459.0,0,2005
M,553.0,547.0,552.0,,0,2005
M,482.0,486.0,447.0,459.0,0,2005
M,426.0,516.0,322.0,380.0,0,2005
M,532.0,505.0,417.0,448.0,0,2005
M,585.0,629.0,492.0,574.0,0,2005
M,596.0,542.0,552.0,485.0,0,2005
M,569.0,479.0,600.0,459.0,0,2005
M,452.0,516.0,349.0,380.0,0,2005
